NUMMER,BASISWERT_1,BASISWERT_2,JAHR
#100,6735.25,36993.125,2010.5
1,69.0,366.375,2010.5
10,273.125,1408.625,2010.5
11,563.625,2109.5,2010.5
12,298.25,1846.0,2010.5
13,266.625,2094.625,2010.5
14,227.875,833.25,2010.5
15,405.125,2861.875,2010.5
16,827.375,3202.875,2010.5
17,249.875,1237.875,2010.5
18,148.125,1126.5,2010.5
19,302.5,2111.25,2010.5
2,199.0,1014.75,2010.5
20,273.375,1478.5,2010.5
21,226.625,1824.875,2010.5
22,298.875,1384.375,2010.5
23,166.25,1143.0,2010.5
24,401.375,1913.5,2010.5
25,230.375,1222.0,2010.5
3,159.75,1011.5,2010.5
4,82.0,514.375,2010.5
5,190.375,1447.375,2010.5
6,227.125,1056.0,2010.5
7,185.0,899.25,2010.5
8,137.125,591.875,2010.5
9,326.5,2293.0,2010.5
