INDIKATOR_BEZEICHNUNG,INDIKATOR_AUSPRAEGUNG,INDIKATOR_WERT,BASISWERT_1,BASISWERT_2,BASISWERT_3,BASISWERT_4,BASISWERT_5,NAME_BASISWERT1,NAME_BASISWERT2,NAME_BASISWERT3,NAME_BASISWERT4,NAME_BASISWERT5,JAHR,GLIEDERUNG,NUMMER,NAME
Ausländer_innenanteil,gesamt,"25,8",8902,34462,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,6,06 Sendling
Ausländer_innenanteil,gesamt,"24,9",10392,41726,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,3,03 Maxvorstadt
Ausländer_innenanteil,gesamt,22,12681,57653,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,12,12 Schwabing - Freimann
Ausländer_innenanteil,gesamt,"22,6",282148,1247934,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Gesamtstadt,#100,Stadt München
Ausländer_innenanteil,gesamt,"16,4",11610,70984,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,13,13 Bogenhausen
Ausländer_innenanteil,gesamt,"21,9",17923,81968,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,9,09 Neuhausen - Nymphenburg
Ausländer_innenanteil,gesamt,"25,6",25600,99995,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,16,16 Ramersdorf - Perlach
Ausländer_innenanteil,gesamt,"20,7",11144,53789,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,4,04 Schwabing - West
Ausländer_innenanteil,gesamt,"24,8",9194,37017,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,14,14 Berg am Laim
Ausländer_innenanteil,gesamt,"18,1",7526,41689,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,20,20 Hadern
Ausländer_innenanteil,gesamt,"17,4",4652,26682,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,23,23 Allach - Untermenzing
Ausländer_innenanteil,gesamt,"16,3",9729,59758,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,21,21 Pasing - Obermenzing
Ausländer_innenanteil,gesamt,"17,5",13454,76762,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,19,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln
Ausländer_innenanteil,gesamt,"19,7",9577,48534,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,25,25 Laim
Ausländer_innenanteil,gesamt,23,4219,18374,,,,Anzahl aller ausländischen Einwohner,Anzahl der gesamten Hauptwohnsitzbevölkerung,,,,2000,Stadtbezirk,1,01 Altstadt - Lehel
